./result\substrate_consumption	0.02019047619047619	0.3728071781724959	3.635485941556727e-08
./result\substrate_consumption_0.0001	0.02019047619047619	0.3728071781724959	4.813668032222872e-08
./result\substrate_consumption_0.0003	0.02019047619047619	0.3729719831532686	3.553120232538421e-07
./result\substrate_consumption_0.0005	0.02019047619047619	0.3728621131660869	4.5304932110099954e-07
./result\substrate_consumption_0.001	0.02019047619047619	0.37242263321735947	3.458822407654589e-06
./result\substrate_consumption_0.003	0.020095238095238097	0.3699505585057682	1.518705424485057e-05
./result\substrate_consumption_0.005	0.02	0.3666544588903131	5.490472557228576e-05
./result\substrate_consumption_0.01	0.020285714285714292	0.3740706830250871	0.00029595004115815963
./result\substrate_consumption_0.03	0.021047619047619048	0.3849478117560886	0.0018304537585600766
./result\substrate_consumption_0.05	0.02066666666666667	0.35143746566562906	0.003502482371821745
