ammonia_input,cod_input,ammonia_mean,nitrite_mean,nitrate_mean,ammonia_min,ammonia_max,nitrite_min,nitrite_max,nitrate_min,nitrate_max
0.008348958333333333,0.005104513888888889,47.05786128310874,0.5888497301040188,29.70709089255557,46.13832205516461,47.89728380278277,0.055577118656808484,0.8407401945235626,29.529987397506726,29.951343016732544
0.007873263888888891,0.006096875,24.281752446796666,0.6244051714934952,27.818234636868496,23.303373683850705,25.14807945890379,0.0629924782240198,0.8883328529581643,27.550442560002022,28.125346396788927
0.008972569444444444,0.005885069444444445,41.30963123915306,0.6796459324290006,28.955604358889914,40.3259145635661,42.28248177607932,0.06516751521458389,0.982914172229992,28.63339110406661,29.298694896942834
0.008917361111111112,0.008648611111111109,48.65135624801775,0.6233687771092875,17.762371008487413,47.72363198267939,49.61679763579802,0.07502245262149754,0.8775129375218859,17.5696412707583,18.012396819011535
0.008616666666666667,0.008563888888888888,51.885514676298754,0.5628021381766167,13.52500670445807,51.00965802689002,52.812961135617854,0.06991239609596152,0.7820391548618397,13.358562772123847,13.74410351634635
0.007957986111111112,0.007007986111111111,33.850905130911535,0.5684523829709988,19.63576248590651,32.91036215992767,34.70282195691403,0.06151317615120892,0.7967691928084178,19.396246616966195,19.907851030326064
0.008476388888888887,0.007049652777777778,43.07370746530219,0.5862118558324337,21.826067877038692,42.11971375771768,43.963184898655136,0.062012071859838126,0.8256515274132463,21.611115030835823,22.088709845311126
0.008259722222222222,0.007539930555555555,29.328503475205594,0.6179561637072767,23.966057485313055,28.315131937884804,30.22952507426802,0.0658582808760682,0.8718181314052671,23.72864219713173,24.254160737190265
0.00841701388888889,0.008096875,23.989458950074397,0.6546686780700453,25.522740710865694,22.927850073705457,24.940519189718252,0.07005168697085201,0.9260365046510988,25.25142528323383,25.842426809325325
0.007447916666666667,0.007609722222222222,18.54540381251243,0.5403598810123968,22.48928925389915,17.593489680203106,19.416127499897375,0.060905480921114474,0.7446757239198097,22.28241848202191,22.72917829202289
0.00873229166666667,0.008430555555555556,33.18686714445157,0.6311794518668065,24.276418308466177,32.1612549399787,34.164450903551405,0.06873239392432387,0.8893703704750624,24.070526805487297,24.54602130268249
0.008571875,0.006557291666666665,39.20185817663364,0.5820497684435888,25.68738777473204,38.202397150388414,40.128944536488525,0.05524744453911768,0.8208823698511583,25.45252376859872,25.969781599704987
0.008482291666666666,0.008152430555555557,31.32798045918972,0.5962403497073246,22.422682663044423,30.304964401231537,32.275161166630625,0.06387322505651627,0.8345210044772469,22.20633231174717,22.69736391508825
0.008353125,0.007112152777777776,32.92629505408917,0.5696732375692798,22.19275077909416,31.910259187755862,33.84476858259158,0.056244894363801146,0.7976045609833254,21.92256584925109,22.492701066491776
